NAME,LTP,DC,DO,DH,DL,PDC,DATE_TIME,DATE,HOUR,MIN
HDFBAN,1199.95,1228.5,1225.4,1225.5,1197.3,1228.5,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
RELPET,131.5,130.85,129,132.4,127.9,130.85,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
HDFC,1987.75,2001.5,2007.8,2007.8,1971.8,2001.5,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
INFTEC,782.9,784,783.5,794.5,777.1,784,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
ICIBAN,423.7,436.6,431.7,431.7,420.3,436.6,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
ITC,242.95,247.1,247.15,247.35,242.55,247.1,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
TCS,2004.4,2020.65,2028,2039,1998.85,2020.65,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
KOTMAH,1585.85,1608.3,1600,1606.55,1566.65,1608.3,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
LARTOU,1425.35,1426.75,1423.1,1432,1407.8,1426.75,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
HINLEV,1967.5,1947.4,1951,1982.5,1936.5,1947.4,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
AXIBAN,672.9,686.3,681.9,681.9,665.45,686.3,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
STABAN,254.05,260.9,259,259,252.7,260.9,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
BAJFI,3948.45,4025.35,4020,4020,3932.95,4025.35,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
MARUTI,6610.15,6721.1,6719.9,6739.95,6560,6721.1,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
INDBA,1228.95,1309.5,1311,1320.5,1220.1,1309.5,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
ASIPAI,1778.45,1773.15,1770,1793.25,1758.85,1773.15,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
BHAAIR,377.4,359.25,361.55,384.85,361.55,359.25,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
HCLTEC,1063.65,1050.9,1052,1065.7,1042,1050.9,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
TITIND,1235,1229.65,1280,1280,1220,1229.65,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
MAHMAH,566.55,576.1,578.1,578.1,559.8,576.1,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
BAFINS,8201.45,8312.55,8300,8346,8175,8312.55,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
NTPC,117.1,117.35,117.9,117.9,116.35,117.35,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
NESIND,13839.85,13875.5,13813.15,13866,13700,13875.5,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
POWGRI,199.15,197.45,197.5,199.6,196.55,197.45,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
ULTCEM,3980.55,4041,4060,4076.9,3950,4041,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
TECMAH,710.85,711.45,710,718.45,703.6,711.45,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
SUNPHA,386.95,383.55,384.9,389.8,378.9,383.55,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
ONGC,125.4,125.95,126.5,127,125.1,125.95,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
BAAUTO,2888,2894.95,2881.5,2931,2864,2894.95,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
BHARAS,5658.3,5811.3,5800,5849.7,5615,5811.3,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
INDOIL,148.1,148.15,148.75,149.7,146.65,148.15,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
COALIN,184.5,185.2,185.75,185.9,183.7,185.2,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
WIPRO,239.15,237.7,237.55,239.5,236,237.7,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
HERHON,2601.95,2603.8,2585,2634.7,2581.65,2603.8,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
BRIIND,3037.45,3061.05,3048,3058.3,3000.4,3061.05,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
UNIP,583.3,581.7,575.05,588.8,575,581.7,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
DRREDD,2633.45,2663.2,2667.1,2668,2612.4,2663.2,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
ADAPOR,399.95,400.2,398.95,400.75,395.8,400.2,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
GRASIM,696.15,670.7,677,723.3,677,670.7,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
VEDLIM,141.35,145.75,145.5,145.5,140.55,145.75,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
HINDAL,182.35,186,185.1,185.1,181.95,186,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
TATSTE,329.7,336.35,332.6,334.5,328,336.35,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
EICMOT,18060.05,18236.75,18225,18225,17851,18236.75,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
GAIL,127.4,132.2,131.95,131.95,126.45,132.2,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
JSWSTE,213.8,212.85,212.4,214.9,209.1,212.85,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
BHAINF,256.7,255.5,255,265.8,251.55,255.5,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
CIPLA,422.25,423.5,423.45,427.3,418.8,423.5,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
TATMOT,116.9,120.85,120,120,116.25,120.85,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
ZEEENT,244.95,245.9,245,248.1,242.45,245.9,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
YESBAN,40.95,43.2,41.85,42.7,40.2,43.2,2019-10-10 16:09:00.000002+05:30,2019-10-10,16,9
HDFBAN,1199.95,1228.5,1225.4,1225.5,1197.3,1228.5,2019-10-10 16:10:49.956581+05:30,2019-10-10,16,10
RELPET,131.5,130.85,129,132.4,127.9,130.85,2019-10-10 16:10:49.956581+05:30,2019-10-10,16,10
HDFC,1987.75,2001.5,2007.8,2007.8,1971.8,2001.5,2019-10-10 16:10:49.956581+05:30,2019-10-10,16,10
INFTEC,782.9,784,783.5,794.5,777.1,784,2019-10-10 16:10:49.956581+05:30,2019-10-10,16,10
ICIBAN,423.7,436.6,431.7,431.7,420.3,436.6,2019-10-10 16:10:49.956581+05:30,2019-10-10,16,10
ITC,242.95,247.1,247.15,247.35,242.55,247.1,2019-10-10 16:10:49.956581+05:30,2019-10-10,16,10
TCS,2004.4,2020.65,2028,2039,1998.85,2020.65,2019-10-10 16:10:49.956581+05:30,2019-10-10,16,10
KOTMAH,1585.85,1608.3,1600,1606.55,1566.65,1608.3,2019-10-10 16:10:49.956581+05:30,2019-10-10,16,10
LARTOU,1425.35,1426.75,1423.1,1432,1407.8,1426.75,2019-10-10 16:10:49.956581+05:30,2019-10-10,16,10
HINLEV,1967.5,1947.4,1951,1982.5,1936.5,1947.4,2019-10-10 16:10:49.956581+05:30,2019-10-10,16,10
AXIBAN,672.9,686.3,681.9,681.9,665.45,686.3,2019-10-10 16:10:49.956581+05:30,2019-10-10,16,10
STABAN,254.05,260.9,259,259,252.7,260.9,2019-10-10 16:10:49.956581+05:30,2019-10-10,16,10
BAJFI,3948.45,4025.35,4020,4020,3932.95,4025.35,2019-10-10 16:10:49.956581+05:30,2019-10-10,16,10
MARUTI,6610.15,6721.1,6719.9,6739.95,6560,6721.1,2019-10-10 16:10:49.956581+05:30,2019-10-10,16,10
INDBA,1228.95,1309.5,1311,1320.5,1220.1,1309.5,2019-10-10 16:10:49.956581+05:30,2019-10-10,16,10
ASIPAI,1778.45,1773.15,1770,1793.25,1758.85,1773.15,2019-10-10 16:10:49.956581+05:30,2019-10-10,16,10
