NAME,LTP,DC,DO,DH,DL,PDC,DATE_TIME,DATE_TODAY,HOUR,MIN
BSESEN,38285.84,38214.47,38316.49,38318.11,38238.27,38214.47,2019-10-15 09:16:00,2019-10-15,9,16
HDFBAN,1212,1203.15,1210,1212,1207.8,1203.15,2019-10-15 09:16:00,2019-10-15,9,16
RELPET,131.5,130.85,129,132.4,127.9,130.85,2019-10-15 09:16:00,2019-10-15,9,16
HDFC,2023.3,2011.5,2013,2024.95,2013,2011.5,2019-10-15 09:16:00,2019-10-15,9,16
INFTEC,768.45,785.65,773.8,774.75,767.6,785.65,2019-10-15 09:16:00,2019-10-15,9,16
ICIBAN,430.5,428.6,430,430.6,428,428.6,2019-10-15 09:16:00,2019-10-15,9,16
ITC,245.95,244.2,247.4,247.4,245.1,244.2,2019-10-15 09:16:00,2019-10-15,9,16
TCS,2030,2020.95,2028.8,2031,2024.2,2020.95,2019-10-15 09:16:00,2019-10-15,9,16
KOTMAH,1593,1583.75,1586,1594.35,1586,1583.75,2019-10-15 09:16:00,2019-10-15,9,16
LARTOU,1427.35,1422.65,1427,1430.3,1425,1422.65,2019-10-15 09:16:00,2019-10-15,9,16
HINLEV,2034.9,2014.7,2052,2052,2033.45,2014.7,2019-10-15 09:16:00,2019-10-15,9,16
AXIBAN,683.05,683.55,683.65,684.7,681.8,683.55,2019-10-15 09:16:00,2019-10-15,9,16
STABAN,256.8,255.45,256.8,257,256.05,255.45,2019-10-15 09:16:00,2019-10-15,9,16
BAJFI,3906,3881.65,3909,3911.2,3880,3881.65,2019-10-15 09:16:00,2019-10-15,9,16
MARUTI,6839,6819.55,6829,6840,6810,6819.55,2019-10-15 09:16:00,2019-10-15,9,16
INDBA,1257.05,1250.5,1251.55,1261.1,1251.55,1250.5,2019-10-15 09:16:00,2019-10-15,9,16
ASIPAI,1805.45,1797.65,1797,1807,1797,1797.65,2019-10-15 09:16:00,2019-10-15,9,16
BHAAIR,389,393.5,391.95,391.95,388.3,393.5,2019-10-15 09:16:00,2019-10-15,9,16
HCLTEC,1086.15,1087.05,1088.6,1088.6,1081.05,1087.05,2019-10-15 09:16:00,2019-10-15,9,16
TITIND,1255,1249.05,1251,1256.3,1251,1249.05,2019-10-15 09:16:00,2019-10-15,9,16
MAHMAH,567.9,568.5,570,570,566.65,568.5,2019-10-15 09:16:00,2019-10-15,9,16
BAFINS,8108.95,8073.45,8108.95,8108.95,8108.95,8073.45,2019-10-15 09:16:00,2019-10-15,9,16
NTPC,117.8,117.8,117.7,118,117.35,117.8,2019-10-15 09:16:00,2019-10-15,9,16
NESIND,14117.65,14174.1,14175,14175,14113.7,14174.1,2019-10-15 09:16:00,2019-10-15,9,16
POWGRI,198.85,198.45,198.8,199.2,198.5,198.45,2019-10-15 09:16:00,2019-10-15,9,16
ULTCEM,4189.5,4171.9,4121.35,4189.5,4121.35,4171.9,2019-10-15 09:16:00,2019-10-15,9,16
TECMAH,725.85,720.6,721,725.85,721,720.6,2019-10-15 09:16:00,2019-10-15,9,16
SUNPHA,396.1,394.6,397.25,398.25,396.1,394.6,2019-10-15 09:16:00,2019-10-15,9,16
ONGC,137.1,135.2,136.6,138,136.6,135.2,2019-10-15 09:16:00,2019-10-15,9,16
BAAUTO,2965.3,2956.05,2959,2970.8,2956.5,2956.05,2019-10-15 09:16:00,2019-10-15,9,16
BHARAS,NA,5767.35,NA,NA,NA,5767.35,2019-10-15 09:16:00,2019-10-15,9,16
INDOIL,146.35,144.8,145.95,146.95,145.2,144.8,2019-10-15 09:16:00,2019-10-15,9,16
COALIN,188.9,190.1,188.3,190.6,188.3,190.1,2019-10-15 09:16:00,2019-10-15,9,16
WIPRO,245,243.35,244,245.4,244,243.35,2019-10-15 09:16:00,2019-10-15,9,16
HERHON,2621.2,2609.25,2616.85,2624,2615,2609.25,2019-10-15 09:16:00,2019-10-15,9,16
BRIIND,3135.8,3107.2,3139.9,3146,3129.35,3107.2,2019-10-15 09:16:00,2019-10-15,9,16
UNIP,583.1,586.95,585.3,585.3,580.95,586.95,2019-10-15 09:16:00,2019-10-15,9,16
DRREDD,NA,2648.9,NA,NA,NA,2648.9,2019-10-15 09:16:00,2019-10-15,9,16
ADAPOR,409.9,406.95,409.5,409.9,407.6,406.95,2019-10-15 09:16:00,2019-10-15,9,16
GRASIM,694.65,698.65,699,699,694.55,698.65,2019-10-15 09:16:00,2019-10-15,9,16
VEDLIM,146.4,147.85,147.5,147.5,146.1,147.85,2019-10-15 09:16:00,2019-10-15,9,16
HINDAL,186.9,188.8,188,188,186.85,188.8,2019-10-15 09:16:00,2019-10-15,9,16
TATSTE,342.5,344.85,345.5,346.15,342.25,344.85,2019-10-15 09:16:00,2019-10-15,9,16
EICMOT,18350,18311.25,18370,18370,18270,18311.25,2019-10-15 09:16:00,2019-10-15,9,16
GAIL,126.15,125.85,126.5,126.85,126.1,125.85,2019-10-15 09:16:00,2019-10-15,9,16
JSWSTE,220.4,221.5,221.05,221.05,219.45,221.5,2019-10-15 09:16:00,2019-10-15,9,16
BHAINF,256.25,259.25,258.25,258.25,256.25,259.25,2019-10-15 09:16:00,2019-10-15,9,16
CIPLA,437,440.85,444,444,436,440.85,2019-10-15 09:16:00,2019-10-15,9,16
TATMOT,125.85,127.8,127.5,127.5,125.85,127.8,2019-10-15 09:16:00,2019-10-15,9,16
ZEEENT,238.85,242.55,237.95,241.25,236.3,242.55,2019-10-15 09:16:00,2019-10-15,9,16
YESBAN,40.8,40,41,41.4,40.7,40,2019-10-15 09:16:00,2019-10-15,9,16
BSESEN,38329.71,38214.47,38316.49,38369.08,38238.27,38214.47,2019-10-15 09:47:41,2019-10-15,9,47
HDFBAN,1212.5,1203.15,1210,1215.35,1207.3,1203.15,2019-10-15 09:47:41,2019-10-15,9,47
RELPET,131.5,130.85,129,132.4,127.9,130.85,2019-10-15 09:47:41,2019-10-15,9,47
HDFC,2018.25,2011.5,2013,2030.05,2013,2011.5,2019-10-15 09:47:41,2019-10-15,9,47
INFTEC,771.1,785.65,773.8,774.75,765,785.65,2019-10-15 09:47:41,2019-10-15,9,47
ICIBAN,430.1,428.6,430,432,428,428.6,2019-10-15 09:47:41,2019-10-15,9,47
ITC,246.15,244.2,247.4,247.4,245.1,244.2,2019-10-15 09:47:41,2019-10-15,9,47
TCS,2039.8,2020.95,2028.8,2045,2024.2,2020.95,2019-10-15 09:47:41,2019-10-15,9,47
KOTMAH,1598.35,1583.75,1586,1599.8,1577.8,1583.75,2019-10-15 09:47:41,2019-10-15,9,47
