NAME,LTP,DC,DO,DH,DL,PDC,CH,PCH,DV,LTT,WH52,WL52,DATE_TIME,DATE_TODAY,HOUR,MIN
BSESEN,"38,285.84","38,214.47","38,316.49","38,318.11","38,238.27","38,214.47",71.37,+0.19,NA,09:16:02.156,NA,NA,2019-10-15 09:16:00,2019-10-15,09,16
HDFBAN,"1,212.00","1,203.15","1,210.00","1,212.00","1,207.80","1,203.15",8.85,+0.74,"1,380",09:16:04.000,"1,285.00",942.20,2019-10-15 09:16:00,2019-10-15,09,16
RELPET,131.50,130.85,129.00,132.40,127.90,130.85,0.65,+0.50,"2,225,733",15:30:03.000,152.95,68.10,2019-10-15 09:16:00,2019-10-15,09,16
HDFC,"2,023.30","2,011.50","2,013.00","2,024.95","2,013.00","2,011.50",11.80,+0.59,282,09:16:08.000,"2,357.00","1,646.00",2019-10-15 09:16:00,2019-10-15,09,16
INFTEC,768.80,785.65,773.80,774.75,767.60,785.65,-16.85,-2.14,"14,755",09:16:09.000,847.40,600.65,2019-10-15 09:16:00,2019-10-15,09,16
ICIBAN,430.50,428.60,430.00,430.60,428.00,428.60,1.90,+0.44,"6,041",09:16:10.000,458.45,309.60,2019-10-15 09:16:00,2019-10-15,09,16
ITC,245.95,244.20,247.40,247.40,245.10,244.20,1.75,+0.72,"3,373",09:16:13.000,310.00,234.10,2019-10-15 09:16:00,2019-10-15,09,16
TCS,"2,030.00","2,020.95","2,028.80","2,031.00","2,024.20","2,020.95",9.05,+0.45,"1,095",09:16:15.000,"2,296.00","1,784.00",2019-10-15 09:16:00,2019-10-15,09,16
KOTMAH,"1,593.00","1,583.75","1,586.00","1,594.35","1,586.00","1,583.75",9.25,+0.58,638,09:16:17.000,"1,682.40","1,099.00",2019-10-15 09:16:00,2019-10-15,09,16
LARTOU,"1,427.35","1,422.65","1,427.00","1,430.30","1,425.00","1,422.65",4.70,+0.33,619,09:16:18.000,"1,606.70","1,183.40",2019-10-15 09:16:00,2019-10-15,09,16
HINLEV,"2,034.90","2,014.70","2,052.00","2,052.00","2,033.45","2,014.70",20.20,+1.00,"5,948",09:16:19.000,"2,101.50","1,500.40",2019-10-15 09:16:00,2019-10-15,09,16
AXIBAN,683.05,683.55,683.65,684.70,681.80,683.55,-0.50,-0.07,"2,686",09:16:21.000,826.55,534.15,2019-10-15 09:16:00,2019-10-15,09,16
STABAN,256.80,255.45,256.80,257.00,256.05,255.45,1.35,+0.53,"10,217",09:16:23.000,373.70,244.35,2019-10-15 09:16:00,2019-10-15,09,16
BAJFI,"3,907.95","3,881.65","3,909.00","3,911.20","3,880.00","3,881.65",26.30,+0.68,"1,177",09:16:26.000,"4,112.00","2,000.80",2019-10-15 09:16:00,2019-10-15,09,16
