NAME,LTP,DC,DO,DH,DL,PDC,CH,PCH,DV,LTT,WH52,WL52,DATE_TIME,DATE_TODAY,HOUR,MIN
BSESEN,38285.84,38214.47,38316.49,38318.11,38238.27,38214.47,71.37,+0.19,NA,09:16:02.156,NA,NA,2019-10-15 09:16:00,2019-10-15,09,16
HDFBAN,1212.00,1203.15,1210.00,1212.00,1207.80,1203.15,8.85,+0.74,1380,09:16:04.000,1285.00,942.20,2019-10-15 09:16:00,2019-10-15,09,16
RELPET,131.50,130.85,129.00,132.40,127.90,130.85,0.65,+0.50,2225733,15:30:03.000,152.95,68.10,2019-10-15 09:16:00,2019-10-15,09,16
HDFC,2023.30,2011.50,2013.00,2024.95,2013.00,2011.50,11.80,+0.59,282,09:16:08.000,2357.00,1646.00,2019-10-15 09:16:00,2019-10-15,09,16
INFTEC,768.80,785.65,773.80,774.75,767.60,785.65,-16.85,-2.14,14755,09:16:09.000,847.40,600.65,2019-10-15 09:16:00,2019-10-15,09,16
ICIBAN,430.50,428.60,430.00,430.60,428.00,428.60,1.90,+0.44,6041,09:16:10.000,458.45,309.60,2019-10-15 09:16:00,2019-10-15,09,16
ITC,245.95,244.20,247.40,247.40,245.10,244.20,1.75,+0.72,3373,09:16:13.000,310.00,234.10,2019-10-15 09:16:00,2019-10-15,09,16
TCS,2030.00,2020.95,2028.80,2031.00,2024.20,2020.95,9.05,+0.45,1095,09:16:15.000,2296.00,1784.00,2019-10-15 09:16:00,2019-10-15,09,16
KOTMAH,1593.00,1583.75,1586.00,1594.35,1586.00,1583.75,9.25,+0.58,638,09:16:17.000,1682.40,1099.00,2019-10-15 09:16:00,2019-10-15,09,16
LARTOU,1427.35,1422.65,1427.00,1430.30,1425.00,1422.65,4.70,+0.33,619,09:16:18.000,1606.70,1183.40,2019-10-15 09:16:00,2019-10-15,09,16
HINLEV,2034.90,2014.70,2052.00,2052.00,2033.45,2014.70,20.20,+1.00,5948,09:16:19.000,2101.50,1500.40,2019-10-15 09:16:00,2019-10-15,09,16
AXIBAN,683.05,683.55,683.65,684.70,681.80,683.55,-0.50,-0.07,2686,09:16:21.000,826.55,534.15,2019-10-15 09:16:00,2019-10-15,09,16
STABAN,256.80,255.45,256.80,257.00,256.05,255.45,1.35,+0.53,10217,09:16:23.000,373.70,244.35,2019-10-15 09:16:00,2019-10-15,09,16
BAJFI,3907.95,3881.65,3909.00,3911.20,3880.00,3881.65,26.30,+0.68,1177,09:16:26.000,4112.00,2000.80,2019-10-15 09:16:00,2019-10-15,09,16
MARUTI,6839.00,6819.55,6829.00,6840.00,6810.00,6819.55,19.45,+0.29,808,09:16:28.000,7929.00,5447.00,2019-10-15 09:16:00,2019-10-15,09,16
